# T	E	uE	M	uM	Cm	X
2.3	-0.72614	0.033106	-0.74524	0.049652	0.00020718	0.0010719
2.3211	-0.68066	0.062178	-0.50024	0.32483	0.00071765	0.04546
2.3421	-0.63314	0.042556	0.32867	0.20875	0.00033016	0.018606
2.3632	-0.64583	0.053981	-0.41937	0.27162	0.00052178	0.031221
2.3842	-0.59828	0.043357	-0.20653	0.26521	0.00033069	0.029502
2.4053	-0.59176	0.037375	0.12096	0.2062	0.00024145	0.017678
2.4263	-0.57027	0.042132	-0.14584	0.20575	0.00030153	0.017447
2.4474	-0.57694	0.04277	-0.30644	0.18011	0.00030541	0.013255
2.4684	-0.57529	0.040584	0.1899	0.23969	0.00027032	0.023275
2.4895	-0.55117	0.035153	-0.022036	0.23687	0.0001994	0.022538
2.5105	-0.53349	0.036615	0.082373	0.15864	0.00021271	0.010024
2.5316	-0.54007	0.037496	-0.13066	0.23239	0.00021938	0.021332
2.5526	-0.53552	0.044533	0.21257	0.21287	0.00030436	0.017753
2.5737	-0.5311	0.036466	0.09104	0.19331	0.00020076	0.014519
2.5947	-0.52402	0.0365	-0.011458	0.20304	0.00019788	0.015887
2.6158	-0.50463	0.035597	0.056622	0.16885	0.00018519	0.010899
2.6368	-0.49121	0.040119	0.045747	0.14155	0.00023149	0.0075987
2.6579	-0.49387	0.036098	-0.10313	0.18031	0.00018445	0.012232
2.6789	-0.47948	0.031648	-0.010204	0.16304	0.00013956	0.0099222
2.7	-0.48655	0.035482	-0.092502	0.17159	0.0001727	0.010904
2.3	-0.72614	0.033106	-0.74524	0.049652	0.00020718	0.0010719
2.3211	-0.68066	0.062178	-0.50024	0.32483	0.00071765	0.04546
2.3421	-0.63314	0.042556	0.32867	0.20875	0.00033016	0.018606
2.3632	-0.64583	0.053981	-0.41937	0.27162	0.00052178	0.031221
2.3842	-0.59828	0.043357	-0.20653	0.26521	0.00033069	0.029502
2.4053	-0.59176	0.037375	0.12096	0.2062	0.00024145	0.017678
2.4263	-0.57027	0.042132	-0.14584	0.20575	0.00030153	0.017447
2.4474	-0.57694	0.04277	-0.30644	0.18011	0.00030541	0.013255
2.4684	-0.57529	0.040584	0.1899	0.23969	0.00027032	0.023275
2.4895	-0.55117	0.035153	-0.022036	0.23687	0.0001994	0.022538
2.5105	-0.53349	0.036615	0.082373	0.15864	0.00021271	0.010024
2.5316	-0.54007	0.037496	-0.13066	0.23239	0.00021938	0.021332
2.5526	-0.53552	0.044533	0.21257	0.21287	0.00030436	0.017753
2.5737	-0.5311	0.036466	0.09104	0.19331	0.00020076	0.014519
2.5947	-0.52402	0.0365	-0.011458	0.20304	0.00019788	0.015887
2.6158	-0.50463	0.035597	0.056622	0.16885	0.00018519	0.010899
2.6368	-0.49121	0.040119	0.045747	0.14155	0.00023149	0.0075987
2.6579	-0.49387	0.036098	-0.10313	0.18031	0.00018445	0.012232
2.6789	-0.47948	0.031648	-0.010204	0.16304	0.00013956	0.0099222
2.7	-0.48655	0.035482	-0.092502	0.17159	0.0001727	0.010904
1.5	-0.97276	0.011198	0.9852	0.0065412	5.5731e-05	2.8525e-05
1.5211	-0.97269	0.012038	0.98478	0.0074594	6.2637e-05	3.6581e-05
1.5421	-0.97102	0.014001	-0.98384	0.0085482	8.2437e-05	4.7385e-05
1.5632	-0.96762	0.012382	0.98202	0.0078006	6.2743e-05	3.8927e-05
1.5842	-0.96569	0.012221	0.98062	0.0075626	5.9515e-05	3.6102e-05
1.6053	-0.964	0.013778	-0.97924	0.0090443	7.3666e-05	5.0957e-05
1.6263	-0.95918	0.012663	0.97622	0.0093042	6.063e-05	5.3229e-05
1.6474	-0.95669	0.016316	0.97538	0.010055	9.8098e-05	6.1373e-05
1.6684	-0.95136	0.01708	-0.97202	0.011098	0.00010481	7.3824e-05
1.6895	-0.94967	0.014389	0.9712	0.0090645	7.2539e-05	4.8633e-05
1.7105	-0.94613	0.017842	-0.96822	0.01269	0.0001088	9.4145e-05
1.7316	-0.94422	0.019346	-0.9668	0.013232	0.00012483	0.00010112
1.7526	-0.93793	0.017661	0.96264	0.013059	0.00010155	9.7304e-05
1.7737	-0.93564	0.0184	-0.95973	0.014348	0.00010762	0.00011606
1.7947	-0.92936	0.019182	0.95651	0.015566	0.00011423	0.000135
1.8158	-0.92887	0.019577	-0.95756	0.013812	0.00011624	0.00010506
1.8368	-0.92051	0.019761	-0.94913	0.01796	0.00011574	0.0001756
1.8579	-0.91429	0.022713	-0.9466	0.018511	0.00014945	0.00018444
1.8789	-0.90924	0.022598	0.94204	0.018557	0.00014465	0.00018327
1.9	-0.90878	0.021594	-0.94251	0.017065	0.00012917	0.00015328
1.9	-0.90387	0.022783	0.93884	0.018567	0.00014379	0.00018144
1.9211	-0.89909	0.024006	0.93307	0.020513	0.00015616	0.00021903
1.9421	-0.88976	0.024158	-0.92604	0.022477	0.00015473	0.00026013
1.9632	-0.88329	0.026405	-0.92202	0.02497	0.00018091	0.00031761
1.9842	-0.88093	0.030615	0.91749	0.032178	0.00023807	0.00052183
2.0053	-0.86767	0.029079	-0.90538	0.034092	0.00021028	0.00057962
2.0263	-0.865	0.027689	-0.9058	0.026711	0.00018672	0.0003521
2.0474	-0.85202	0.026436	0.89271	0.033652	0.00016673	0.00055313
2.0684	-0.84809	0.034164	-0.88598	0.040572	0.00027281	0.00079582
2.0895	-0.83813	0.035511	0.87567	0.054432	0.00028883	0.001418
2.1105	-0.8214	0.030205	0.858	0.046132	0.00020483	0.0010083
2.1316	-0.81889	0.036345	0.85518	0.04879	0.00029072	0.0011168
2.1526	-0.80978	0.040181	-0.84531	0.05666	0.00034842	0.0014914
2.1737	-0.78407	0.041357	-0.81351	0.065813	0.000362	0.0019926
2.1947	-0.77736	0.042904	0.80558	0.063935	0.00038215	0.0018625
2.2158	-0.761	0.048761	-0.62	0.45113	0.00048427	0.09185
2.2368	-0.75002	0.042802	0.75267	0.10498	0.00036616	0.0049271
2.2579	-0.71778	0.05901	-0.61027	0.28957	0.00068303	0.037137
2.2789	-0.68869	0.055425	-0.18138	0.56478	0.00059148	0.13997
2.3	-0.70269	0.053841	-0.21222	0.6263	0.00054799	0.17054
2.6	-0.50902	0.036485	0.020667	0.21695	0.00019691	0.018102
2.6211	-0.50778	0.037144	-0.029644	0.19453	0.00020083	0.014438
2.6421	-0.49431	0.033761	-0.014111	0.17911	0.00016328	0.012142
2.6632	-0.49384	0.0337	-0.032267	0.16935	0.00016013	0.010768
2.6842	-0.48213	0.034932	-0.0097778	0.14102	0.00016936	0.0074085
2.7053	-0.47991	0.036773	-0.0061333	0.16042	0.00018478	0.0095127
2.7263	-0.47424	0.033244	-0.0073778	0.14031	0.00014869	0.0072215
2.7474	-0.46778	0.030285	-0.0033778	0.14846	0.00012151	0.0080229
2.7684	-0.45409	0.037711	-0.0077333	0.13959	0.00018556	0.0070386
2.7895	-0.45916	0.03596	0.012156	0.13516	0.00016619	0.0065489
2.8105	-0.45098	0.030942	0.037778	0.14947	0.00012121	0.0079491
2.8316	-0.45273	0.036726	0.010622	0.14171	0.00016823	0.0070922
2.8526	-0.43767	0.0342	-0.030022	0.1327	0.00014373	0.0061732
2.8737	-0.43371	0.031755	-0.026156	0.13541	0.00012211	0.0063808
2.8947	-0.42956	0.036301	0.011467	0.13661	0.00015726	0.0064469
2.9158	-0.42147	0.028351	0.0016	0.12359	9.4541e-05	0.0052385
2.9368	-0.41596	0.028677	-0.0012667	0.12235	9.5345e-05	0.0050974
2.9579	-0.41222	0.031426	-0.0074889	0.11909	0.00011288	0.004795
2.9789	-0.41389	0.033576	0.013311	0.13483	0.00012704	0.0061022
3	-0.4052	0.029871	-2.2222e-05	0.10246	9.9141e-05	0.0034997
